id_faeces,collection_date_1,collection_date_2,weight_1,weight_2,weight_total,weight_additive,ph,additive,additive_ratio,foil_weight_1,foil_weight_2,foil_weight_3,weight_wet_1,weight_wet_2,weight_wet_3,dry_weight_1,dry_weight_2,dry_weight_3,sample_weight_1,sample_weight_2,sample_weight_3,dilution_factor_ecoli,e_coli_counted_1,e_coli_counted_2,e_coli_counted_3,dilution_factor_enterococcus,enterococcus_counted_1,enterococcus_counted_2,enterococcus_counted_3,dilution_factor_platecount,total_plate_count_1,total_plate_count_2,total_plate_count_3
1,11-17-2025,,394,,394,197,6.38,wood chips,0.5,0.33,0.38,0.32,5.35,5.35,5.57,2.7,2.58,2.54,1.07,0.94,0.86,10000,55,38,36,10000,34,49,27,1000000,21,14,13
2,11-18-2025,,274,,274,137,6.44,wood chips,0.5,0.33,0.33,0.3,5.28,5.3,5.42,2.52,2.52,2.62,0.96,1.04,1.01,100000,60,72,66,10000,22,15,23,1000000,265,287,188
3,11-24-2025,11-25-2025,174,220,394,197,6.04,wood chips,0.5,0.35,0.3,0.36,5.48,5.34,5.31,2.65,2.55,2.57,1.03,1.04,0.99,100000,64,58,64,100000,12,22,30,1000000,65,69,57
4,11-25-2025,11-26-2025,153,251,404,202,6.32,wood chips,0.5,0.38,0.28,0.31,5.31,5.31,5.37,2.37,2.41,2.38,1.08,1.03,1.14,100000,204,176,189,100000,65,85,73,1000000,56,52,49
5,12-01-2025,,260,,260,130,6.78,wood chips,0.5,0.39,0.4,0.37,5.51,5.28,5.67,2.43,2.54,2.71,1.23,1.06,1.07,100000,254,274,234,100000,31,28,36,1000000,140,163,139
6,12-02-2025,12-03-2025,200,123,323,170,6.72,wood chips,0.53,0.34,0.4,0.42,5.32,5.32,5.44,2.57,2.61,2.67,1.17,0.99,0.98,500000,60,14,119,500000,29,11,37,5000000,17,14,19
